danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
0.647,0.514,8,-10.05,1,0.0593,0.0655,0,0.398,0.386,79.975,240693,4,10
0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024,251733,4,3
0.772,0.65,6,-5.202,0,0.0306,0.107,1.13E-06,0.0905,0.262,125.083,222200,4,0
0.469,0.538,8,-13.559,1,0.0571,0.305,0.00012,0.37,0.886,196.605,176333,4,9
0.979,0.792,2,-2.784,1,0.0388,0.0025,7.71E-06,0.102,0.583,116.012,254467,4,2
0.658,0.762,10,-3.028,0,0.0425,0.263,0,0.127,0.823,163.864,148448,4,3
0.65,0.306,9,-9.443,1,0.0393,0.57,7.07E-06,0.0707,0.605,118.068,180056,4,9
0.671,0.373,9,-18.064,1,0.0323,0.257,8.01E-05,0.0481,0.732,92.718,295893,4,9
0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,209413,4,1
0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,225280,4,3
0.702,0.773,10,-9.256,0,0.0343,0.0288,0.00871,0.147,0.953,103.564,285373,4,3
0.62,0.573,0,-11.893,1,0.0423,0.271,0,0.0607,0.897,81.548,231333,4,2
0.583,0.602,11,-6.364,1,0.0274,0.368,0,0.22,0.388,74.008,229240,4,10
0.818,0.692,0,-8.79,1,0.0529,0.357,9.42E-06,0.127,0.934,139.695,276413,4,2
0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,228093,4,2
0.378,0.896,2,-4.066,1,0.0407,0.000452,0,0.194,0.469,174.302,258773,4,6
0.794,0.711,8,-5.124,0,0.0699,0.3,0,0.0955,0.955,174.915,189109,4,3
0.426,0.408,3,-9.419,1,0.0524,0.771,7.88E-06,0.394,0.528,76.309,204712,4,9
0.745,0.481,2,-8.291,1,0.054,0.302,3.67E-06,0.0808,0.229,137.001,224449,4,10
0.754,0.449,7,-9.211,1,0.109,0.0332,8.29E-05,0.552,0.357,77.169,198973,4,1
