danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.406,0.00921,2,-31.822,1,0.087,0.984,0.906,0.0953,0.303,80.507,215800,4
0.197,0.00138,0,-43.657,1,0.0505,0.992,0.86,0.0508,0.228,72.243,220827,3
0.239,0.287,7,-12.565,0,0.0388,0.876,0.644,0.122,0.185,71.608,311107,3
0.239,0.0142,7,-29.65,1,0.0438,0.995,0.894,0.0659,0.306,172.559,243373,3
0.288,0.0386,5,-26.513,0,0.0374,0.976,0.937,0.103,0.133,132.239,142480,4
0.321,0.0272,3,-25.066,1,0.037,0.993,0.919,0.0947,0.0632,74.69,221732,4
0.245,0.077,10,-25.633,0,0.0305,0.957,0.843,0.121,0.0677,73.999,321820,4
0.102,0.0419,10,-24.896,1,0.0485,0.977,0.834,0.0866,0.0406,170.8,261720,5
0.343,0.0209,8,-27.015,1,0.0398,0.987,0.922,0.126,0.0393,125.242,497773,3
0.199,0.0677,0,-20.879,1,0.039,0.786,0.738,0.225,0.145,78.866,307827,3
0.183,0.0157,0,-25.289,1,0.0374,0.993,0.962,0.0839,0.0373,73.068,149200,3
0.294,0.00785,4,-29.64,0,0.0667,0.994,0.956,0.0929,0.173,70.958,158520,3
0.268,0.155,7,-20.851,0,0.0352,0.938,0.914,0.261,0.206,135.319,481093,4
0.0979,0.0801,8,-19.643,1,0.0458,0.941,0.431,0.115,0.0608,75.314,192420,4
0.414,0.1,5,-18.42,1,0.031,0.972,0.902,0.109,0.106,95.075,160089,4
0.319,0.0553,10,-27.051,1,0.0442,0.976,0.927,0.114,0.146,96.82,178787,1
0.358,0.167,7,-16.0,0,0.0354,0.899,0.96,0.103,0.601,144.561,138707,4
0.245,0.0562,6,-21.374,1,0.048,0.987,0.849,0.0793,0.153,93.484,180442,3
0.217,0.0408,9,-26.146,0,0.0379,0.994,0.912,0.0553,0.0614,159.179,260973,3
0.209,0.0152,0,-32.064,0,0.0573,0.996,0.961,0.0894,0.149,84.292,73000,4
0.162,0.0682,3,-21.254,1,0.0393,0.989,0.475,0.116,0.0358,144.568,228013,1
0.13,0.086,10,-21.92,1,0.0373,0.932,0.912,0.108,0.0375,90.223,391160,4
0.176,0.006,5,-42.238,1,0.0384,0.899,3.24e-05,0.105,0.0383,71.477,636000,3
